id,ID,name,KEGG,CID,mean_diabetic..,mean_non.diabetic..,sd_diabetic..,sd_non.diabetic..,diabetic..__mean_and_sd,non.diabetic..__mean_and_sd,FC_non.diabetic.._diabetic..,class_p.values,class_FDR.p.values,post.hoc_non.diabetic.._diabetic..,kruskal_selected,PC1,PC2,rf_importance,rfe_selected,FC_non.diabetic.._diabetic.._mag,FC_non.diabetic.._diabetic.._dir,FC_non.diabetic.._diabetic.._sig,class_FDR.p.values_sig,FC_non.diabetic.._diabetic.._dir_class_FDR.p.values_sig
36,var36,ribose,C00121,5779,1640.608695652174,1091.7169811320755,1680.821518271522,1218.6382276534753,1640 +/- 1700,1090 +/- 1200,0.67,0.11472126649097013,0.16982360708899516,0.1147237460280981,FALSE,0.06370009935706314,-0.03250994511271958,NA,FALSE,0.5777669993169522,-1,FALSE,FALSE,-1_FALSE
37,var37,ribitol,C00474,827,786.6086956521739,940.4905660377359,487.37597388561187,449.99519752315604,787 +/- 490,940 +/- 450,1.2,0.298224381790142,0.3762831125942731,0.2982309870559001,FALSE,-0.014817619378264585,0.05744521753807144,NA,FALSE,0.2630344058337938,1,FALSE,FALSE,1_FALSE
38,var38,rhamnose,C00507,25310,8808.08695652174,6903.943396226415,3969.8779224766586,2312.0301802586196,8810 +/- 4000,6900 +/- 2300,0.78,0.03696754072279325,0.0668259389988955,0.0369675407227924,TRUE,0.05789838141018354,-0.00943505585144594,0.048537593984962414,FALSE,0.3584539709124763,-1,FALSE,FALSE,-1_FALSE
39,var39,pyruvic acid,C00022,1060,4829.260869565217,3098.0754716981132,5052.025536333209,3130.971309409962,4830 +/- 5100,3100 +/- 3100,0.64,0.10836155752796002,0.16297578252205186,0.10836638342627092,FALSE,0.05430448588449806,-0.007531029461582464,NA,FALSE,0.6438561897747247,-1,FALSE,FALSE,-1_FALSE
4,var4,xanthine,C00385,1188,2007.0434782608695,1141.245283018868,2732.1829680222713,1956.1444113127268,2010 +/- 2700,1140 +/- 2000,0.57,0.06698983297038959,0.11145211149055967,0.0669935655863414,FALSE,0.05638008297453004,0.14623272298389506,NA,FALSE,0.8109661756099832,-1,FALSE,FALSE,-1_FALSE
40,var40,pyrophosphate,C00013,1023,649.304347826087,590.5471698113207,249.15300789650027,243.73137530720925,649 +/- 250,591 +/- 240,0.91,0.5339988773010875,0.6159198912755538,0.5340212410527335,FALSE,0.029339562736747784,-0.0712299976199976,NA,FALSE,0.13606154957602837,-1,FALSE,FALSE,-1_FALSE
41,var41,"pyrazine 2,5-dihydroxy",,23368901,2510.4347826086955,1968.4150943396226,1468.9845542255916,2266.2812086523722,2510 +/- 1500,1970 +/- 2300,0.78,0.008566423695655561,0.02013109568479057,0.008567329019832925,TRUE,0.05608031009603675,0.12162086674098771,0.06954774729391096,FALSE,0.3584539709124763,-1,FALSE,TRUE,-1_TRUE
42,var42,"propane-1,3-diol",C02457,10442,1563.4347826086957,1622.5094339622642,676.1191951186604,525.5565044144785,1560 +/- 680,1620 +/- 530,1.04,0.24189483981252013,0.32252645308336014,0.24189483981251536,FALSE,0.022177180552132924,0.1402323090207384,NA,FALSE,0.056583528366367514,1,FALSE,FALSE,1_FALSE
43,var43,proline,C00148,145742,70828.34782608696,51432.622641509435,44454.96390792974,23108.157381877754,70800 +/- 44000,51400 +/- 23000,0.73,0.09993817942137033,0.1565698144268135,0.09993817942137029,FALSE,0.08357397353772084,0.12016606866687228,NA,FALSE,0.4540316308947075,-1,FALSE,FALSE,-1_FALSE
44,var44,pipecolic acid,,,1286.2173913043478,614.7547169811321,2474.9896777842005,1510.3731315047792,1290 +/- 2500,615 +/- 1500,0.48,0.02908918922293764,0.054691812781791936,0.029092490074874133,TRUE,0.0467739754267126,-0.006211439157869253,0.013238095238095242,FALSE,1.0588936890535685,-1,FALSE,FALSE,-1_FALSE
45,var45,phosphoric acid,C00009,1004,78555.34782608696,68499.1320754717,60335.5188836926,49398.352880917046,78600 +/- 60000,68500 +/- 49000,0.87,0.6551477177594319,0.7331414936831738,0.6551477177594343,FALSE,0.005735746386715532,-0.07185455031195716,NA,FALSE,0.2009126939259964,-1,FALSE,FALSE,-1_FALSE
46,var46,phosphoethanolamine,C00346,1015,1368.7826086956522,1678.5849056603774,539.0031165807806,796.2673602494006,1370 +/- 540,1680 +/- 800,1.23,0.15754646401302483,0.22103533757051244,0.15754930310198834,FALSE,-0.03188596785519461,-0.016185744062089495,NA,FALSE,0.29865831556451516,1,FALSE,FALSE,1_FALSE
47,var47,phenylethylamine,,,3083.695652173913,2155.264150943396,2808.0609847492888,1232.7740942054131,3080 +/- 2800,2160 +/- 1200,0.7,0.2904193950526713,0.3714207229245048,0.29042269233836593,FALSE,0.05166300719126766,-0.005950157335077564,NA,FALSE,0.5145731728297583,-1,FALSE,FALSE,-1_FALSE
48,var48,phenylalanine,C00079,6140,44032.17391304348,36917.79245283019,10243.676935075491,8280.175846698525,44000 +/- 10000,36900 +/- 8300,0.84,0.004786366529079652,0.012159958209013168,0.0047863665290830415,TRUE,0.08431208113672278,0.087283861208198,0.01657902448428764,FALSE,0.25153876699596445,-1,FALSE,TRUE,-1_TRUE
49,var49,phenylacetic acid,C07086,999,319.17391304347825,162.58490566037736,296.69905968137186,111.97586174677664,319 +/- 300,163 +/- 110,0.51,0.0035927883738907968,0.009513298792837603,0.0035966821747659417,TRUE,0.09388768114983277,0.04562937845750915,0.02662790697674418,FALSE,0.9714308478032291,-1,FALSE,TRUE,-1_TRUE
5,var5,valine,C00183,6287,231977.91304347827,128295.52830188679,118125.31339021941,52491.78109571198,232000 +/- 120000,128000 +/- 52000,0.55,2.1787359904328785e-5,1.5170458007458562e-4,2.1787359904656967e-5,TRUE,0.12063575519631456,-0.032919855711439315,0.00936,FALSE,0.862496476250065,-1,FALSE,TRUE,-1_TRUE
50,var50,pelargonic acid,C01601,8158,16374.434782608696,18819.811320754718,5028.568066793125,5791.55980735562,16400 +/- 5000,18800 +/- 5800,1.15,0.06956128423730275,0.11471510032116594,0.06956128423730235,FALSE,-0.06143088175983182,-0.12655342390735316,NA,FALSE,0.2016338611696504,1,FALSE,FALSE,1_FALSE
51,var51,pantothenic acid,C00864,6613,4967.130434782609,2017.867924528302,1991.0377902524701,1200.4685629712042,4970 +/- 2000,2020 +/- 1200,0.41,2.7391764021241448e-8,9.767093863563051e-7,2.7391779178209674e-8,TRUE,0.14840348849130633,-0.04871040489854056,1.2211479912752188,TRUE,1.286304185156641,-1,FALSE,TRUE,-1_TRUE
52,var52,palmitoleic acid,C08362,445638,5926.739130434783,14203.735849056604,6979.1395811009625,30292.056030323645,5930 +/- 7000,14200 +/- 30000,2.4,0.039062995962574606,0.0699413641996574,0.039064334629432595,TRUE,-0.02150643457429857,-0.013357793882033037,0.03668591886050166,FALSE,1.2630344058337937,1,FALSE,FALSE,1_FALSE
53,var53,palmitic acid,C00249,985,40409.65217391304,48022.75471698113,16317.842160733406,17142.288776484067,40400 +/- 16000,48000 +/- 17000,1.19,0.059754836772140114,0.10212644830147583,0.059754836772139885,FALSE,-0.06948000455805639,-0.1382949525293471,NA,FALSE,0.25096157353321874,1,FALSE,FALSE,1_FALSE
54,var54,oxoproline,C01879,7405,141636.47826086957,194013.88679245283,71449.91533163097,40442.91782427158,142000 +/- 71000,194000 +/- 40000,1.37,7.75358512686766e-6,7.288370019255601e-5,7.753585127612261e-6,TRUE,-0.08730731186884065,0.05814156773453096,0.2732924172999761,FALSE,0.45417589318580215,1,FALSE,TRUE,1_TRUE
55,var55,oxalic acid,C00209,971,39281.65217391304,36087.188679245286,14753.482875728932,12344.02965475868,39300 +/- 15000,36100 +/- 12000,0.92,0.4453348877544385,0.5366856339604772,0.44533488775443886,FALSE,-0.029842599121609678,-0.05157102376438482,NA,FALSE,0.12029423371771177,-1,FALSE,FALSE,-1_FALSE
56,var56,orotic acid,C00295,967,604.695652173913,566.377358490566,456.13698448667895,279.9952078171706,605 +/- 460,566 +/- 280,0.94,0.452106025138195,0.5413753676814055,0.45210602513818166,FALSE,0.009865912910087163,-0.019583141662892843,NA,FALSE,0.08926733809708741,-1,FALSE,FALSE,-1_FALSE
57,var57,ornithine,C00077,6262,34261.13043478261,53031.22641509434,18706.49302759083,15211.035850331102,34300 +/- 19000,53000 +/- 15000,1.55,1.606313046232843e-5,1.2582785528823936e-4,1.6063130462540265e-5,TRUE,-0.07702651030352925,0.11652667047396044,0.43097488524835986,TRUE,0.632268215499513,1,FALSE,TRUE,1_TRUE
58,var58,oleic acid,C00712,445639,4328.608695652174,6415.811320754717,3368.882074343066,3239.6231740542567,4330 +/- 3400,6420 +/- 3200,1.48,0.004957788251453992,0.01242752255031134,0.004957788251457762,TRUE,-0.07592429520696473,-0.05296645758202754,0.0347346997377485,FALSE,0.5655971758542251,1,FALSE,TRUE,1_TRUE
59,var59,N-methylalanine,C02721,5288725,4987.95652173913,4237.358490566037,2779.2174745332522,2981.210415601352,4990 +/- 2800,4240 +/- 3000,0.85,0.05112215757790873,0.08817399655639305,0.05112374521900698,FALSE,0.05623148234261626,0.06256238193715488,NA,FALSE,0.23446525363702297,-1,FALSE,FALSE,-1_FALSE
6,var6,uridine,C02067,15047,22035.434782608696,12634.735849056604,11763.44499952786,5249.7549801833,22000 +/- 12000,12600 +/- 5200,0.57,5.556166799642631e-5,3.369546317202628e-4,5.556166799658424e-5,TRUE,0.09406945157678909,-0.0944559235965436,0.17430901853216965,TRUE,0.8109661756099832,-1,FALSE,TRUE,-1_TRUE
60,var60,nicotinic acid,C00253,938,1583,1427.5094339622642,1730.2663746581702,1765.8205830831337,1580 +/- 1700,1430 +/- 1800,0.9,0.12410757287640567,0.1794786438520328,0.12411271491525833,FALSE,0.033473478162606124,0.027880996701393965,NA,FALSE,0.15200309344504995,-1,FALSE,FALSE,-1_FALSE
